Fecha,Ticker,Precio Bs,Precio USD,Ganancia %
2026-03-31 16:16,ABC.A,1700.0,3.5874817988055794,-0.4000000000000108
2026-03-31 16:16,ARC.B,1300.0,2.7433684343807374,-0.3999999999999861
2026-03-31 16:16,BNC,1715.0,3.619136049971511,-0.3999999999999968
2026-03-31 16:16,BPV,142.0,0.299660244370819,-0.3999999999999861
2026-03-31 16:16,BVCC,565.0,1.1923101272500898,-0.4000000000000066
2026-03-31 16:16,BVL,1652.0,3.4861881950745985,-0.399999999999999
2026-03-31 16:16,CCP.B,675.0,1.4244413024669214,-0.3999999999999899
2026-03-31 16:16,CCR,6500.0,13.716842171903686,-0.3999999999999999
2026-03-31 16:16,CGQ,3801.0,8.021187245447063,-0.3999999999999934
2026-03-31 16:16,CRM.A,822.0,1.7346529638930508,-0.3999999999999808
2026-03-31 16:16,DOM,819.95,1.7303268829003735,-0.3999999999999888
2026-03-31 16:16,EFE,141.0,0.2975499609597569,-0.4000000000000201
2026-03-31 16:16,ENV,848.0,1.7895203325806657,-0.3999999999999886
2026-03-31 16:16,FNC,1385.0,2.9227425243210163,-0.3999999999999941
2026-03-31 16:16,FNV,350.0,0.738599193871737,-0.4000000000000097
2026-03-31 16:16,GMC.B,4600.0,9.707303690885686,-0.4000000000000117
2026-03-31 16:16,GZL,890.0,1.878152235845274,-0.399999999999999
2026-03-31 16:16,ICP.B,120.0,0.2532340093274526,-0.3999999999999986
2026-03-31 16:16,IVC.A,999.0,2.108173127651044,-0.400000000000019
2026-03-31 16:16,IVC.B,549.8,1.1602338194019457,-0.400000000000007
2026-03-31 16:16,MPA,104.65,0.2208411589676493,-0.3999999999999812
2026-03-31 16:16,MTC.B,450.0,0.9496275349779476,-0.3999999999999899
2026-03-31 16:16,MVZ.A,8199.99,17.304302867875155,-0.4000000000000305
2026-03-31 16:16,MVZ.B,7999.99,16.882246185662733,-0.3999999999999948
2026-03-31 16:16,PCP.B,410.0,0.8652161985354633,-0.3999999999999992
2026-03-31 16:16,PGR,108.0,0.2279106083947074,-0.4000000000000052
2026-03-31 16:16,PIV.B,53000.0,111.8450207862916,-0.3999999999999999
2026-03-31 16:16,PTN,669.99,1.4138687825775005,-0.4000000000000203
2026-03-31 16:16,RST,549.98,1.1606136704159369,-0.4000000000000061
2026-03-31 16:16,RST.B,405.0,0.8546647814801528,-0.3999999999999954
2026-03-31 16:16,SVS,1338.0,2.8235592040010973,-0.3999999999999901
2026-03-31 16:16,TDV.D,819.0,1.7283221136598643,-0.3999999999999948
2026-03-31 16:16,TPG,23.5,0.0495916601599594,-0.3999999999999948
2026-03-31 16:16,ABC.A,1700.0,3.5874817988055794,-0.4000000000000108
2026-03-31 16:16,ARC.B,1300.0,2.7433684343807374,-0.3999999999999861
2026-03-31 16:16,BNC,1715.0,3.619136049971511,-0.3999999999999968
2026-03-31 16:16,BPV,142.0,0.299660244370819,-0.3999999999999861
2026-03-31 16:16,BVCC,565.0,1.1923101272500898,-0.4000000000000066
2026-03-31 16:16,BVL,1652.0,3.4861881950745985,-0.399999999999999
2026-03-31 16:16,CCP.B,675.0,1.4244413024669214,-0.3999999999999899
2026-03-31 16:16,CCR,6500.0,13.716842171903686,-0.3999999999999999
2026-03-31 16:16,CGQ,3801.0,8.021187245447063,-0.3999999999999934
